Los Angeles,4914,2865,790,5939,2841,3548,2348,3807,7511,6697,2157,6910,3267,3372,1357,4652,1867,4054,9140,4909,82945,True,Los Nettos
Champaign-Urbana,1689,2312,737,4449,1759,3623,2130,2455,4786,3642,2108,1579,3337,3035,1131,3866,2039,3274,2389,1323,51663,True,AT&T U-verse
Champaign-Urbana,2478,2731,692,3686,2260,3595,2207,2399,5784,3642,2138,1520,3003,2432,1256,3591,1603,2674,2419,1234,51344,True,AT&T U-verse
Champaign-Urbana,1905,2196,928,4160,1866,3936,2166,3134,4859,3556,1797,1869,2229,3382,1524,4536,2016,3374,2455,1640,53528,False,AT&T U-verse
Los Angeles,1447,2197,225,4950,878,2316,661,3318,1719,4677,1695,1395,1674,2758,790,2649,1393,2707,2454,1665,41568,False,Los Nettos
Los Angeles,5891,2375,1855,8070,1995,3563,2362,2792,3994,5352,2673,1911,3097,2882,1947,5854,1867,3453,5664,1517,69114,True,Los Nettos
Boston-Cambridge,1430,2272,569,2693,926,1429,1364,3220,3470,2765,1820,1759,2506,2506,1168,3333,10149,3340,1632,1593,49944,False,Akamai Technologies
Boston-Cambridge,1792,2069,546,3463,881,1644,1830,4347,3887,2269,2474,1067,2559,2596,1017,5611,2041,3065,2590,884,46632,False,RCN
Champaign-Urbana,1613,2281,719,3731,1978,3857,2631,3334,4570,3642,2258,1540,3028,2925,1141,3606,1622,2611,2344,1195,50626,True,AT&T U-verse
Durham,956,2119,184,2330,596,2562,945,1746,1902,2085,1981,533,1310,2347,971,3696,1553,2382,2072,1011,33281,False,Duke University
New York,5989,2456,1328,3108,1709,4623,2050,3759,3418,2192,7843,1619,3957,2572,1838,4792,1950,2722,2780,1658,62363,False,Time Warner Cable
West Covina,3164,3095,1615,7149,3067,5386,3067,5171,5086,5186,3248,2988,4864,4858,2556,4131,2836,4806,9658,2326,84257,False,T-Mobile USA
Los Angeles,2362,2865,813,3839,2519,5689,9612,3807,4195,13573,1589,6440,3797,2882,1697,4345,1867,4054,4105,1795,81845,True,Los Nettos
Kirkcaldy,11980,2865,1880,5650,5708,3707,2669,7560,6396,8438,10957,6037,9232,8906,4453,5673,5598,10549,7203,4597,130058,True,BT
Delhi,2271,5169,912,11227,4435,5174,4384,12954,10040,9555,9049,4549,4721,4593,7515,5417,1867,3328,7305,4191,118656,True,Airtel Broadband
Champaign-Urbana,4511,6449,591,7798,3465,8830,2822,7820,4635,3642,6663,1242,7740,6443,2183,3792,5671,7517,3492,1995,97301,True,AT&T U-verse
Champaign-Urbana,1693,2720,667,3687,1677,3760,2144,3041,5091,3642,1999,1509,2857,2705,1124,4404,1630,2811,2607,1420,51188,True,AT&T U-verse
Los Angeles,2697,2865,11446,5939,2841,9734,7932,3807,7511,3642,2145,2303,2537,3372,1357,9369,1867,4054,4577,2499,92494,True,Los Nettos
Wenzhou,901,1602,613,1778,1258,1585,1128,1296,1240,1937,1324,866,1714,1856,713,1496,1230,2777,1149,867,27330,False,University of Illinois
Mountain View,1285,2508,417,2825,4749,2111,884,2852,1244,3614,2753,1387,2019,2001,1086,5107,2198,2788,3077,1169,46074,False,Google
Champaign-Urbana,2166,2436,903,6678,3445,8747,1608,5245,3683,3642,6462,1217,1882,2938,1055,5803,5853,3689,3280,1183,71915,True,AT&T U-verse
Champaign-Urbana,1001,1348,561,5185,737,1030,951,1057,1049,2008,2128,654,2846,2493,645,1389,1126,5298,953,751,33210,False,University of Illinois
Champaign-Urbana,1277,1820,745,4070,919,1948,1562,2545,2068,1987,1545,1086,2592,1922,1015,3772,1301,1903,2042,1080,37199,False,University of Illinois
Champaign-Urbana,1885,4336,556,9055,6600,8294,2669,5783,3271,3642,5331,1184,3380,3480,963,3502,4698,3311,3620,2030,77590,True,AT&T U-verse
Champaign-Urbana,7034,8056,650,8902,4333,7624,4924,12439,9118,3642,8463,5309,6171,6508,2259,7673,9013,8267,4211,3433,128029,True,AT&T U-verse
Jalandhar,3652,3775,1007,4605,2856,1976,2343,4771,3267,5717,2665,2219,4716,4963,1580,11229,3197,4930,1880,2205,73553,False,Airtel Broadband
Woodstock,4292,2761,695,3762,7114,4211,2356,7977,3873,7058,3483,1633,4054,2650,1697,3721,3593,3097,2067,1681,71775,True,AT&T U-verse
Los Angeles,2880,2865,12435,6181,4763,4211,2118,3807,4760,11877,1599,2303,3250,3372,1357,10606,1867,4054,2743,1496,88544,True,Los Nettos
Madison,1870,3829,749,6573,4815,2029,1875,4088,3430,4920,4011,2677,2184,4326,1644,4998,3924,7106,5059,1463,71570,False,"Spiralight Network, LLC"
Champaign-Urbana,1652,2290,786,3692,2571,3694,2062,2381,3853,3642,1948,1491,3024,2630,1086,3546,1544,3335,2587,1117,48931,True,AT&T U-verse
Boston-Cambridge,2754,3529,2177,7310,3321,2068,2470,8365,8420,5529,3375,1693,3561,4020,11632,4283,3899,6952,3515,3768,92641,False,Akamai Technologies
Boston-Cambridge,1013,1681,508,1858,937,3842,2087,1899,1829,1542,1425,895,1371,2330,1691,3610,1555,2935,3183,783,36974,False,Akamai Technologies
Dehradun,2271,2796,723,8311,7256,4413,5102,11123,4212,3642,12368,4319,7784,10496,7053,4131,7452,8163,3133,5253,120001,True,Bharti Broadband
Los Angeles,1393,2865,12200,7761,2841,3367,2348,3807,7511,3642,2145,2303,2867,12092,7017,13104,1867,6021,7673,2081,104905,True,Los Nettos
Espoo,3755,4045,1688,3952,1951,3966,3535,2663,4195,5457,2625,2003,5175,3059,1812,3769,4824,4767,3133,1031,67405,True,Resilans AB
Los Angeles,2684,2865,1855,5212,10254,6715,2348,13926,4195,3642,11683,10060,2538,3372,5005,3596,1867,4054,6122,1671,103664,True,Los Nettos
Champaign-Urbana,1381,1819,840,3692,1293,2647,1633,2235,7618,2160,1954,1817,2538,2706,1044,3661,1722,2205,2453,1144,46562,False,University of Illinois
Dehradun,2271,2796,7470,4262,10863,4434,2348,3199,4212,3642,2145,6000,3003,10553,9963,7835,1867,8537,3133,8487,107020,True,Bharti Broadband
Chapel Hill,4047,3151,1395,13302,3722,5535,3139,2952,3252,5595,4669,2169,4016,3884,1638,4670,4245,7181,3397,1921,83880,False,AT&T U-verse
Los Angeles,6149,2865,4457,5650,2841,3707,12857,3807,4195,3642,2145,13594,11528,2882,1697,10664,1867,4054,12015,3576,114192,True,Los Nettos
Champaign-Urbana,1760,2755,716,3587,2214,3505,2167,2850,4408,3642,1940,1832,3057,2679,1448,3672,1941,2692,2212,1174,50251,True,AT&T U-verse
Jalandhar,3628,4516,1507,5681,3253,2750,3353,5063,3716,6049,2756,3027.293706960406,5745,3577,1955,5518.862027479304,3294,5434,2070,2382,75275.15573443972,True,Airtel Broadband
Champaign-Urbana,1876,2502,1087,3841,1899,3791,2190,3233,4212,3642,1912,1583,4234,2581,1122,3546,2328,2434,3648,1104,52765,True,AT&T U-verse
Durham,1396,2057,647,2151,1524,3070,1575,1849,2202,2498,2093,1038,1614,2616,768,2895,1266,3619,1982,1061,37921,False,Time Warner Cable
Chicago,2035,2633,697,4103,1312,3825,1965,2729,2949,3360,2258,1824,3618,3913,1509,3469,1883,3779,2664,1408,51933,False,Comcast Cable
Chicago,1961,3449,849,4262,5590,3689,2333,4152,5229,5024,1304,1465,1973,4021,1511,3666,1762,7737,4068,1373,65418,False,Boingo Wireless
Ambria-Spino,3737,4173,776,5971,3002,2948,3170,4375,7339,4216,2766,2270,2696,3668,3569,4109,3856,4411,4808,1280,73140,False,NGI SpA
Champaign-Urbana,785,1858,962,2387,1185,3222,1462,1754,2067,3642,1674,1106,1590,1797,1724,3337,1372,1697,2021,879,36521,True,Pavlov Media
Los Angeles,4266,2865,1855,5650,2841,3707,2348,11071,7521,3642,2145,6859,2538,2882,13757,4345,1867,4054,10568,11140,105921,True,Los Nettos
Los Angeles,1872,1617,519,5043,939,2259,897,2412,1314,3642,1275,1211,2612,1475,862,3357,1419,1340,1813,834,36712,True,Los Nettos
Chandigarh,6279,5638,1317,9938,5305,6717,3651,3199,6748,7595,7117,4446,4785,7688,4415,5688,3899,6200,10504,4241,115370,True,Airtel Broadband
Champaign-Urbana,2198,2947,701,3637,2874,4918,2118,2273,4656,3642,2152,1525,2992,4203,1093,5862,1577,2387,2250,1141,55146,True,AT&T U-verse
Champaign-Urbana,2271,2900,7262,4012,2022,3403,2115,3199,6412,3642,1889,1492,3228,2705,1381,4500,1645,2761,2402,1201,60442,True,AT&T U-verse
Champaign-Urbana,2127,2639,721,4026,2543,3564,2187,3571,4366,3642,2401,2128,2672,3222,1598,4074,1926,3097,3064,1596,55164,True,AT&T U-verse
Champaign-Urbana,1356,2535,739,2633,824,1383,1453,1449,1714,3642,1450,1154,2652,1508,810,3700,1526,1972,1978,974,35452,True,University of Illinois
Champaign-Urbana,2368,2378,680,3607,1873,4161,1978,2309,4149,3642,2160,1532,2539,3413,1112,4311,1616,2765,2244,1082,49919,True,AT&T U-verse
Los Angeles,2600,2479,819,3746,4937,5507,1416,2477,4798,3118,1686,1748,3066,2603,1280,4708,1817,2416,2984,1400,55605,False,Towerstream I
Champaign-Urbana,1841,3896,705,3920,1999,3412,2377,3188,4386,3642,2120,1509,3196,3191,1048,3492,2080,3399,2207,1218,52826,True,AT&T U-verse
Champaign-Urbana,1074,2797,567,2976,2279,1544,1516,2364,2179,2182,2404,1131,1681,1633,1091,4840,1417,2644,2545,824,39688,False,University of Illinois
Chandigarh,3401,6366,1384,2948,2989,2008,2845,4664,2933,6400,3420,2629.488934186053,5878,4217,1938,4079,3128,3567,3038,2205,70037.48893418605,True,Airtel Broadband
Champaign-Urbana,1392,2115,1443,3426,980,2478,1685,2312,5041,2780,1557,1515,2196,1980,1435,3629,1675,2445,1655,1400,43139,False,University of Illinois
Chandigarh,3580,3034,1083,5953,3104,2137,3420,4310,2849,4832,2458,1490,6502,3397,3255,3361,2141,4658,1955,2239,65758,False,Airtel Broadband
Schaffhausen,3104,6372,1392,7086,2847,14461,5540,6225,6659,7998,6413,5648,9376,6823,7511,8539,4628,6126,3556,4543,124847,True,"SWITCH, Swiss Education and Research Network"
Los Gatos,2888,2466,493,5807,3268,7743,1542,4104,3740,3642,2366,1813,1605,2882,1114,3217,2202,3046,9952,919,64809,True,Netflix
Vancouver,2271,2796,13184,4262,2597,3623,2348,3233,4212,3642,2145,1794,9894,2882,1498,12742,1867,3328,3133,11204,92655,True,Shaw Communications
London,6646,3552,2372,7078,3727,3426,4066,5585,4195,5319,6729,3994,5262,7391,2458,5776,5909,5536,5722,2863,97606,True,Andrews and Arnold
Seattle,1715,2390,400,8682,1233,1040,1409,2232,2112,3142,2401,2303,1776,2029,1029,3409,1565,2983,4586,1096,47532,True,University of Washington
Los Angeles,4257,2865,490,5650,2841,4092,2362,3807,4195,3642,2593,11350,3457,2882,1697,11832,1867,10459,3441,8068,91847,True,Los Nettos
Barcelona,5920,4821,1798,9000,3637,3092,4477,5691,7178,3642,5797,4051,10259,4391,4793,6245,5940,4672,4059,4853,104316,True,Telefonica de Espana
Champaign-Urbana,1271,1967,869,3519,1942,3310,3196,2133,2177,2843,1487,1710,2207,2277,1373,4313,1790,2504,1683,1508,44079,False,University of Illinois
Mandeville,6464,2865,699,5650,1929,3208,10846,3807,8980,3642,2145,1951,2537,8125,1697,4853,1867,4054,3441,1479,80239,True,FLOW
Champaign-Urbana,8025,8863,2265,6431,3498,9031,3722,9431,4781,3642,4572,2350,6430,5669,3236,8265,12860,6269,7989,3224,120553,True,AT&T U-verse
Los Angeles,3210,2486,11441,12008,2841,3707,10834,2579,11190,3166,2041,7197,12055,2750,13383,4420,12407,2721,6468,3340,130244,True,Los Nettos
Champaign-Urbana,1545,2778,641,3873,2482,3759,2009,2253,3968,3642,2034,1242,3014,2393,1056,4112,1516,2342,2333,947,47939,True,AT&T U-verse
Champaign-Urbana,2697,3198,1855,7464,2900,4849,3201,3807,7511,4052,2145,2303,2424,3372,1498,4914,1832,4054,4260,1438,69774,False,Comcast Business Communications
Champaign-Urbana,1292,1888,848,3332,1130,2716,1725,2195,3038,2726,1583,1649,2192,2744,1337,3655,1737,2531,1797,1219,41334,False,University of Illinois
Dehradun,2271,2796,1789,5477,9744,3623,8944,6549,4212,7677,8120,4346,6775,8471,3255,6356,6643,7296,3133,6154,113631,True,Bharti Broadband
Adelaide,5765,4429,665,5983,1302,3796,1961,7129,1685,3927,4047,3323,2698,7103,1647,6249,6509,4152,6014,2429,80813,False,NEWSLI
Champaign-Urbana,1262,2554,606,2213,1558,1983,1249,2638,1339,2446,1554,1428,1807,2266,1053,4665,1738,3284,1175,1164,37982,False,University of Illinois
Iowa City,2867,3933,1467,5596,2670,2473,2461,3446,3627,3642,2963,2664,2843,3604,2608,4646,3182,3416,3457,2490,64055,True,Mediacom Cable
Mountain View,2703,2557,1146,4294,4171,5431,2477,3137,3047,6517,4517,4352,6264,5073,1917,4131,4391,3693,4714,1637,76169,True,Google
Wenzhou,1100,1754,524,2774,939,1457,1286,2546,1276,2154,1741,1070,1984,1836,854,4568,1783,3156,2099,1174,36075,False,University of Illinois
Champaign-Urbana,2199,1820,812,2707,1689,3176,1069,1718,2761,2147,1944,1320,3085,1598,651,3215,1761,2578,1893,953,39096,False,University of Illinois
Champaign-Urbana,893,2395,609,1727,721,1122,923,1316,1079,1566,1210,719,1744,2194,710,5311,1131,2451,909,1088,29818,False,University of Illinois
Los Angeles,12443,2865,8968,4962,3965,12815,3427,3807,10137,3642,11550,10454,12761,3372,1357,12405,11518,4054,4793,1781,141076,True,Los Nettos
Champaign-Urbana,1664,2996,768,2288,945,2423,1363,1763,1830,3642,1719,1349,2347,3070,914,4311,1405,7119,1777,986,44679,True,University of Illinois
Chapel Hill,2137,3721,869,6664,2237,6171,3089,5213,3976,4402.167883211679,2934,1738,3655,4920,1653,5078,4808,5049,3214,3452,74980.16788321169,True,AT&T U-verse
Barcelona,7529,12040,17285,5650,10964,14087,8186,18239,14065,8018,2145,9112,13307,11896,15259,28823,10173,11654,8655,8253,235340,True,Telefonica de Espana
Champaign-Urbana,5953,9213,1860,7367,12005,8847,4824,7200,5275,9544,5997,8572,7388,6730,3145,8533,1867,9763,7635,3222,134940,True,AT&T U-verse
Mountain View,2856,2434,744,4353,1844,2531,1206,4154,3038,4508,3495,1912,5272,3217,1446,4149,2531,4566,4260,2038,60554,False,Google
Champaign-Urbana,1878,3207,719,3366,2957,3596,2162,3642,3971,3642,1977,1548,4267,3214,1301,3477,1690,2648,3098,1313,53673,True,AT&T U-verse
Dehradun,2271,2796,5729,4262,2579,3517,6581,9255,4212,9745,12783,10539,10362,2882,1498,7678,1867,9032,3133,4390,115111,True,Bharti Broadband
Champaign-Urbana,12035,5650,10762,4962,12545,9267,3777,7917,4838,3642,2145,2353,2867,2882,2265,13081,1867,7821,4480,3379,118535,True,AT&T U-verse
Champaign-Urbana,5905,7204,1916,6294,4038,9207,5521,8377,4932,8493,6528,3488,6860,6574,2031,5968,10360,8810,4122,3360,119988,False,University of Illinois
Champaign-Urbana,1887,2620,701,3705,1869,3661,2333,2577,5222,3642,2364,1794,3858,3232,1415,4166,1982,3328,4841,1487,56684,True,AT&T U-verse
Champaign-Urbana,1966,2796,706,4790,2007,3836,2580,2520,5143,3642,2111,1646,3074,2659,1079,3934,1609,3368,3133,1137,53736,True,AT&T U-verse
Los Angeles,3187,2886,796,7531,1387,3018,967,9071,1560,3642,1503,1164,2712,1908,1948,2891,1366,3266,3032,2235,56070,True,Los Nettos
Menlo Park,3090,2392,2890,3779,1647,3623,2038,3285,5152,11533,4344,4235,5643,2547,1474,3028,2560,5305,3599,1401,73565,False,Comcast Cable
Champaign-Urbana,1658,2158,680,3641,2403,3363,2046,2484,5817,3642,2049,1506,2890,2585,1084,4103,1683,2611,3133,990,50526,True,AT&T U-verse
Thane,6238,8007,1542,11247,6146,5339,3934,3807,4195,8683,7449,5381,7729,7865,8863,4266,5400,7302,8820,5817,128030,True,In2cable (India) Ltd.
Champaign-Urbana,1859,2719,1392,5650,1888,2533,2343,3273,2794,4419,3986,2303,8702,3373,2158,4361,2459,2813,3086,2882,64993,False,University of Illinois
Champaign-Urbana,1889,2334,709,3622,1726,3359,1916,2402,5387,3642,2309,1517,3120,2882,1117,3743,1606,3353,2989,1095,50717,True,AT&T U-verse
Champaign-Urbana,2309,2424,684,3628,2257,3225,2077,2302,4380,3642,2100,1476,2989,2655,1024,4918,1598,2160,2267,1282,49397,True,AT&T U-verse
Champaign-Urbana,2081,2324,609,3801,2095,3342,1837,2223,3967,3642,1937,1226,3065,2256,1028,4023,1351,2371,2896,839,46913,True,AT&T U-verse
Champaign-Urbana,8418,8255,543,6905,3619,8702,3658,11808,5028,3642,12363,3362,6511,5694,2203,8589,12657,8935,4645,3508,129045,True,AT&T U-verse
Santarcangelo di Romagna,2944,4127,585,4021,2336,2666,3722,2493,6853,4593,1806,2626,2819,2281,2624,4839,2676,3581,4179,853,62624,False,Made Network Srl
Champaign-Urbana,1322,4105,756,3138,978,1627,1633,1939,2020,3642,3536,1579,3604,2047,877,4076,1322,2068,1658,1474,43401,True,University of Illinois
Deventer,2121,3077,629,4983,3623,3707,2876,4315,4351,2635,2899,1826,1543,2893,1467,5634,2755,2963,1858,943,57098,True,SOLCON
Chandigarh,2271,2796,10796,13190,2832,7599,6148,3199,4198,13179,2145,12473,3014,2882,5224,16342,9136,3328,3133,4290,128175,True,Airtel Broadband
Los Angeles,5907,3843,1196,6475,2692,4562,3137,3417,6069,4210,3430,1996,3077,3954,2304,4345,2826,5342,3135,2081,73998,False,T-Mobile USA
Champaign-Urbana,2898,3343,2999,6016,1380,5212,1247,2573,2746,3501,3187,1823,2917,2942,1433,4208,1867,4484,2724,1603,59103,True,University of Illinois
Champaign-Urbana,3450,6720,721,7638,3069,8760,3549,7463,4572,3642,5304,1373,6621,8029,1953,3685,4752,6176,3257,3156,93890,True,AT&T U-verse
Amsterdam,2145,3941,529,3031,485,2917,2226,2679,3956,2652,1596,1609,1698,2882,1093,3921,1508,2837,1552,785,44042,True,Equinix Netherlands
Champaign-Urbana,2550,2865,1750,4625,2579,4211,2348,5342,9198,3642,2047,1830,2537,5918,1357,5188,2241,4827,3204,1288,69547,False,Comcast Business Communications
Los Angeles,11782,2865,10762,6904,2832,14490,10076,3807,9322,3642,11483,7881,2537,13303,1357,4652,12086,4054,3441,7857,145133,True,Los Nettos
Champaign-Urbana,7228,6847,568,6357,5622,9000,3555,7878,4496,3642,5524,2352,7561,9052,3256,9363,8291,7249,5015,3423,116279,True,AT&T U-verse
Champaign-Urbana,1400,1955,1574,3234,1294,2625,1917,2301,2613,2772,1657,1887,2567,2986,1416,3790,1929,5272,1937,1639,46765,False,University of Illinois
Champaign-Urbana,13829,8482,2955,5650,2841,3707,6892,3807,4195,3642,2145,2303,9981,12577,12010,7267,6774,11849,3441,10404,134751,True,AT&T U-verse
Somerville,1241,1506,826,2136,850,5498,1161,1636,1508,3535,1245,1004,1620,2243,1300,4568,2430,2622,1980,739,39648,False,RCN
Durham,3139,2276,2532,4200,1310,1495,2122,6060,3895,2165,1906,1169,1963,4590,1479,4378,3264,3328,2776,1049,55096,True,Duke University
Champaign-Urbana,1301,1762,1346,4467,1146,3155,1773,2384,2516,3102,1526,1567,2923,2546,1393,3887,1647,2543,2477,1650,45111,False,University of Illinois
Vancouver,2516,3113,837,3875,3245,4101,2245,3579,8749,3374,3732,2877,2545,2368,1346,3682,2876,3662,6711,1513,66946,False,Telus Communications
oslo,4332,4416,1414,5771,3143,4314,4076,3309,10187,4930,3705,3463,3836,3823,2248,4702,6171,5444,3562,1424,84270,False,Telenor
Chandigarh,2271,2796,4667,4160,2832,3623,2348,3199,4198,3642,2145,1813,3014,2882,13478,4131,1867,3328,3133,8657,78184,True,Airtel Broadband
Noel N5,1097,2053,608,2117,957,1479,986,2399,1698,1927,1290,1124,2592,1912,887,2879,3827,3089,1400,912,35233,False,University of Illinois
Dehradun,2271,2796,789,11657,6102,3510,3409,9499,4212,9097,10414,2609,8789,8782,2861,4131,11273,8405,3133,2949,116688,True,Bharti Broadband
Woodstock,1601,2008,797,3870,1417,7766,1880,3317,3225,3159,2644,1527,3291,2305,1241,3467,1867,2890,2077,1610,51959,False,AT&T U-verse
Los Angeles,1534,1662,492,3493,908,1428,840,1627,4031,3642,1181,1029,2139,1396,860,4499,1217,1782,1762,645,36167,True,Los Nettos
Jalandhar,4086,6403,1187,4722,3381,2178,2965,4237,2749,5521,2647,1538,5697,5755,1916,5141.503363967489,9662,4017,2164,2444,78410.5033639675,True,Airtel Broadband
Deventer,1801,1675,430,1232,1251,1690,2283,1532,3296,1493,1503,974,2234,1905,770,4043,1218,1363,774,474,31941,False,SOLCON
Champaign-Urbana,2285,2490,837,3547,2100,3957,2156,4540,5350,3642,2384,1904,4312,3879,1987,4153,1936,3373,2931,1404,59167,True,AT&T U-verse
Champaign-Urbana,1792,3605,605,3550,1813,3703,2527,2136,4720,3642,1786,1299,3046,2087,993,3431,1349,2291,2391,843,47609,True,AT&T U-verse
Champaign-Urbana,2593,2333,781,11506,1913,3943,2611,2498,4198,3364,2687,1463,2513,2687,1449,4299,1699,2853,2431,1574,59395,False,AT&T U-verse
Champaign-Urbana,1878,7924,743,3679,2221,3415,2052,2383,4846,3642,1920,1553,3697,2993,1210,5221,1683,4517,2351,1308,59236,True,AT&T U-verse
Los Angeles,3104,2865,1318,5650,12963,10331,2348,3807,8704,7469,2409,2921,3507,10128,8850,4345,1867,12447,3441,8192,116666,True,Los Nettos
Champaign-Urbana,2305,2376,669,4350,2597,3224,2265,3963,4972,3642,2281,1665,3014,4014,1414,4118,1789,2647,2715,1359,55379,True,AT&T U-verse
Mumbai,6830,9652,1828,13932,4509,8506,5108,11708,4195,5458,7424,4325,6709,10288,8420,4574,5814,9532,8118,5988,142918,True,Tata Teleservices (Maharashtra) Ltd
Champaign-Urbana,1255,2259,783,3222,1210,3176,1692,2397,2535,3271,1797,1726,2444,2376,1637,4273,1603,2773,1780,1527,43736,False,University of Illinois
Mountain View,1718,2480,387,3205,1535,1865,1022,2975,1912,2225,1566,1669,1636,1565,899,2883,1415,2244,3175,1241,37617,False,Comcast Cable
Chandigarh,2271,2796,8877,4160,2832,7450,11040,3199,4198,3642,2145,9416,11329,2882,6071,8795,11167,3328,3133,4172,112903,True,Airtel Broadband
Los Angeles,3053,2865,1855,5650,8788,3707,2362,3807,4195,3642,4288,5220,8947,2882,14902,4345,1867,4054,8417,2235,97081,True,Los Nettos
